des,num,arr_delay,airport,city,state,lat,long
DEN,211098,4.575926821,Denver International Airport,Denver,CO,39.85841,-104.667
DFW,252225,5.349057389,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372
DHN,1360,5.049264706,Dothan Regional Airport,Dothan,AL,31.32134,-85.44963
DIK,914,-2.845733042,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,46.79739,-102.80195
DLG,77,-4.194805195,Dillingham Airport,Dillingham,AK,59.04541,-158.50334
DLH,1882,3.904888417,Duluth International Airport,Duluth,MN,46.84209,-92.19365
DRO,2015,1.683870968,Durango-La Plata County Airport,Durango,CO,37.15152,-107.75377
DSM,8827,6.648918092,Des Moines International Airport,Des Moines,IA,41.53493,-93.66068
DTW,106969,3.712412007,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884
DVL,523,-1.48374761,Devils Lake Regional Airport,Devils Lake,ND,48.11425,-98.90878
EAU,698,6.58739255,Chippewa Valley Regional Airport,Eau Claire,WI,44.86526,-91.48507
ECP,4516,2.600752879,Northwest Florida Beaches International Airport,Panama City,FL,,
EGE,1201,10.11990008,Eagle County Regional Airport,Eagle,CO,39.64257,-106.9177
EKO,571,1.292469352,Elko Regional Airport,Elko,NV,40.82493,-115.7917
ELM,2201,7.103134939,Elmira/Corning Regional Airport,Elmira,NY,42.15991,-76.89144
ELP,12882,6.85770843,El Paso International Airport,El Paso,TX,31.80667,-106.37781
ERI,707,5.735502122,Erie International Airport,Erie,PA,42.08202,-80.17622
ESC,603,0.4013267,Delta County Airport,Escanaba,MI,45.72267,-87.09373
EUG,3561,4.606852008,Eugene AirportÂ (Mahlon Sweet Field),Eugene,OR,44.12326,-123.21869
EVV,4113,1.937758327,Evansville Regional Airport,Evansville,IN,38.03799,-87.53063
EWN,564,8.274822695,Coastal Carolina Regional AirportÂ (Craven County Regional),New Bern,NC,35.07297,-77.04294
EWR,107762,6.991453388,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866
EYW,2099,4.7527394,Key West International Airport,Key West,FL,24.55611,-81.75956
FAI,2339,2.009833262,Fairbanks International Airport,Fairbanks,AK,64.81368,-147.85967
FAR,6111,5.24758632,Hector International Airport,Fargo,ND,46.91935,-96.81499
FAT,7604,6.928064177,Fresno Yosemite International Airport,Fresno,CA,36.77619,-119.71814
FAY,1617,5.405071119,Fayetteville Regional Airport,Fayetteville,NC,34.99147,-78.88
FCA,2120,0.892924528,Glacier Park International Airport,Kalispell,MT,48.3114,-114.25507
FLG,1762,5.383654938,Flagstaff Pulliam Airport,Flagstaff,AZ,35.13845,-111.67122
FLL,78423,5.23410224,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,26.07258,-80.15275
FNT,5032,3.781995231,Bishop International Airport,Flint,MI,42.9655,-83.74346
FSD,5180,9.044015444,Sioux Falls Regional Airport,Sioux Falls,SD,43.58135,-96.7417
FSM,2085,9.581294964,Fort Smith Regional Airport,Fort Smith,AR,35.33659,-94.36744
FWA,5602,4.702606212,Fort Wayne International Airport,Fort Wayne,IN,40.97847,-85.19515
GCC,982,-2.729124236,Gillette-Campbell County Airport,Gillette,WY,44.3489,-105.53936
GCK,695,4.447482014,Garden City Regional Airport,Garden City,KS,37.92752,-100.72441
GEG,10279,3.139215877,Spokane International Airport,Spokane,WA,47.61986,-117.53384
GFK,801,2.280898876,Grand Forks International Airport,Grand Forks,ND,47.94926,-97.17611
GGG,674,3.637982196,East Texas Regional Airport,Longview,TX,32.38486,-94.71171
GJT,3140,2.165923567,Grand Junction Regional AirportÂ (Walker Field),Grand Junction,CO,39.12241,-108.52673
GNV,2877,7.852276677,Gainesville Regional Airport,Gainesville,FL,29.69006,-82.27178
GPT,3826,4.45033978,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,30.40728,-89.07009
GRB,4732,4.245773457,Green Bay-Austin Straubel International Airport,Green Bay,WI,44.48507,-88.12959
GRI,667,0.473763118,Central Nebraska Regional Airport,Grand Island,NE,40.96747,-98.30861
GRK,3875,5.697806452,Killeen-Fort Hood Regional Airport,Killeen,TX,31.0649,-97.8278
GRR,11492,5.399756352,Gerald R. Ford International Airport,Grand Rapids,MI,42.88082,-85.52277
GSO,7072,6.363687783,Piedmont Triad International Airport,Greensboro,NC,36.09775,-79.9373
GSP,7024,4.758542141,Greenville-Spartanburg International Airport,Greer,SC,34.89567,-82.21886
GST,74,10.83783784,Gustavus Airport,Gustavus,AK,58.42438,-135.70738
GTF,2138,-0.108044902,Great Falls International Airport,Great Falls,MT,47.482,-111.37069
GTR,999,3.680680681,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,33.45033,-88.59137
GUC,470,10.59361702,Gunnison-Crested Butte Regional Airport,Gunnison,CO,38.53396,-106.93318
GUM,360,14.56666667,Guam International Airport,Agana,GU,13.48345,-144.79598
HDN,686,5.702623907,Yampa Valley AirportÂ (Yampa Valley Regional),Hayden,CO,40.48118,-107.21766
HIB,876,-0.01826484,Range Regional AirportÂ (Chisholm-Hibbing Airport),Hibbing,MN,47.3866,-92.83899
HLN,1562,-1.313060179,Helena Regional Airport,Helena,MT,46.60682,-111.98275
HNL,46691,4.590285066,Honolulu International Airport,Honolulu,HI,21.31869,-157.92241
HOB,592,2.597972973,Lea County Regional Airport,Hobbs,NM,32.68753,-103.21703
HOU,51014,4.076802446,William P. Hobby Airport,Houston,TX,29.64542,-95.27889
HPN,7849,8.465027392,Westchester County Airport,White Plains,NY,41.06696,-73.70757
HRL,3303,4.465334544,Valley International Airport,Harlingen,TX,26.22851,-97.65439
HSV,4442,4.605583071,Huntsville International Airport,Huntsville,AL,34.64045,-86.77311
HYA,81,3.555555556,Barnstable Municipal Airport,Hyannis,MA,41.66934,-70.28036
HYS,614,-3.529315961,Hays Regional Airport,Hays,KS,38.84494,-99.27403
IAD,36693,3.370206851,Washington Dulles International Airport,Chantilly,VA,38.94453,-77.45581
IAG,335,9.355223881,Niagara Falls International Airport,Niagara Falls,NY,43.10726,-78.94538
IAH,143587,5.651242801,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972
ICT,7905,6.61543327,Wichita Dwight D. Eisenhower National AirportÂ (Wichita Mid-Continent Airport),Wichita,KS,37.64996,-97.43305
IDA,2430,0.99382716,Idaho Falls Regional Airport,Idaho Falls,ID,43.51456,-112.07017
ILG,95,21.98947368,Wilmington Airport,Wilmington,DE,39.67872,-75.60653
ILM,2047,4.320468979,Wilmington International Airport,Wilmington,NC,34.27061,-77.90256
IMT,666,-8.166666667,Ford Airport,Iron Mountain/Kingsford,MI,45.81835,-88.11454
IND,27478,4.307373171,Indianapolis International Airport,Indianapolis,IN,39.71733,-86.29438
INL,567,-5.409171076,Falls International Airport,International Falls,MN,48.56619,-93.40307
ISN,2716,0.607879234,Sloulin Field International Airport,Williston,ND,48.17794,-103.64235
ISP,4615,8.814301192,Long Island MacArthur Airport,Islip,NY,40.79524,-73.10021
ITH,31,4.225806452,Ithaca Tompkins Regional Airport,Ithaca,NY,42.49103,-76.45844
ITO,6216,1.098777349,Hilo International Airport,Hilo,HI,19.72026,-155.04847
JAC,3597,6.891298304,Jackson Hole Airport,Jackson,WY,43.60732,-110.73774
JAN,6914,5.730546717,Jackson-Evers International Airport,Jackson,MS,32.31117,-90.07589
JAX,19492,5.2615945,Jacksonville International Airport,Jacksonville,FL,30.49406,-81.68786
JFK,91587,6.699455163,John F. Kennedy International AirportÂ (New York International Airport),New York,NY,40.63975,-73.77893
JLN,696,8.823275862,Joplin Regional Airport,Joplin,MO,37.15181,-94.49827
JMS,829,2.752714113,Jamestown Regional Airport,Jamestown,ND,46.92972,-98.6782
JNU,4364,2.367323556,Juneau International Airport,Juneau,AK,58.35496,-134.57628
KOA,12045,0.128518057,Kona International Airport at Keahole,Kailua/Kona,HI,19.73877,-156.04563
KTN,2476,4.469709208,Ketchikan International Airport,Ketchikan,AK,55.35557,-131.71374
LAN,1788,4.877516779,Capital Region International AirportÂ ( Lansing Capital City),Lansing,MI,42.7787,-84.58736
LAR,604,-2.331125828,Laramie Regional Airport,Laramie,WY,41.31205,-105.67499
LAS,144788,3.197405862,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233
LAW,1358,6.15832106,Lawton-Fort Sill Regional Airport,Lawton,OK,34.56771,-98.41664
LAX,209783,5.424114442,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807
LBB,4881,8.174554395,Lubbock Preston Smith International Airport,Lubbock,TX,33.66364,-101.82278
LBE,1362,10.35682819,Arnold Palmer Regional Airport,Latrobe,PA,40.27594,-79.4048
LCH,1995,2.097744361,Lake Charles Regional Airport,Lake Charles,LA,30.1261,-93.2234
LEX,6378,3.51818752,Blue Grass Airport,Lexington,KY,38.03697,-84.60539
LFT,5019,5.620043833,Lafayette Regional Airport,Lafayette,LA,30.20528,-91.98766
LGA,94527,10.396437,LaGuardia Airport (Marine Air Terminal),New York,NY,40.77724,-73.87261
LGB,8693,3.453353273,Long Beach AirportÂ (Daugherty Field),Long Beach,CA,33.81772,-118.15161
LIH,11388,0.36766772,Lihue Airport,Lihue,HI,21.97598,-159.33896
LIT,10180,6.881434185,Bill and Hillary Clinton National AirportÂ (Adams Field),Little Rock,AR,34.7294,-92.22425
LNK,2569,7.842351109,Lincoln AirportÂ (Lincoln Municipal),Lincoln,NE,40.85097,-96.75925
LRD,2332,3.090480274,Laredo International Airport,Laredo,TX,27.54374,-99.46154
LSE,1749,1.36535163,La Crosse Regional Airport,La Crosse,WI,43.87938,-91.25654
LWS,586,-6.544368601,Lewiston-Nez Perce County Airport,Lewiston,ID,46.3745,-117.01539
MAF,7285,7.734934798,Midland International Airport,Midland,TX,31.94253,-102.20191
MBS,1807,5.9839513,MBS International Airport,Saginaw,MI,43.53291,-84.07965
MCI,41686,4.716787411,Kansas City International Airport,Kansas City,MO,39.29761,-94.71391
MCO,118568,4.938035558,Orlando International Airport,Orlando,FL,28.42889,-81.31603
MDT,3513,4.013094221,Harrisburg International Airport,Harrisburg,PA,40.1935,-76.7634
MDW,86079,2.350503607,Chicago Midway International Airport,Chicago,IL,41.78598,-87.75242
MEI,893,9.599104143,Meridian Regional Airport,Meridian,MS,32.33313,-88.75121
MEM,15969,4.671676373,Memphis International Airport,Memphis,TN,35.04242,-89.97667
MFE,3289,6.886591669,McAllen-Miller International AirportÂ (McAllen Miller International),McAllen,TX,26.17583,-98.23861
MFR,2428,4.737644152,Rogue Valley International Airport,Medford,OR,42.37423,-122.8735
MGM,3425,7.677080292,Montgomery Regional Airport,Montgomery,AL,32.30064,-86.39398
MHK,1719,3.9168121,Manhattan Regional Airport,Manhattan,KS,39.14097,-96.67083
MHT,6711,6.487855759,Manchester-Boston Regional Airport,Manchester,NH,42.93452,-71.43706
MIA,74242,5.347593007,Miami International Airport,Miami,FL,25.79325,-80.29056
MKE,31863,3.251953677,General Mitchell International Airport,Milwaukee,WI,42.94722,-87.89658
MKG,679,6.371134021,Muskegon County Airport,Muskegon,MI,43.16949,-86.23822
MLB,1443,2.186417186,Melbourne International Airport,Melbourne,FL,28.10275,-80.64581
MLI,3936,6.128556911,Quad City International Airport,Moline,IL,41.44853,-90.50754
MLU,3159,6.226654004,Monroe Regional Airport,Monroe,LA,32.51087,-92.03769
MMH,140,8.878571429,Mammoth Yosemite Airport,Mammoth Lakes,CA,37.62405,-118.83777
MOB,5343,6.930937675,Mobile Regional Airport,Mobile,AL,30.69142,-88.24283
MOT,2029,3.682602267,Minot International Airport,Minot,ND,48.25938,-101.28033
MQT,322,14.53726708,Sawyer International Airport,Marquette,MI,46.35364,-87.39536
MRY,2818,5.394251242,Monterey Regional AirportÂ (Monterey Peninsula Airport),Monterey,CA,36.58698,-121.84295
MSN,8867,4.097665501,Dane County Regional Airport,Madison,WI,43.13986,-89.33751
MSO,2226,-0.97574124,Missoula International Airport,Missoula,MT,46.91631,-114.09056
MSP,111146,3.37436345,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.88055,-93.21692
MSY,41976,3.56880122,Louis Armstrong New Orleans International Airport,New Orleans,LA,29.99339,-90.25803
MTJ,982,8.627291242,Montrose Regional Airport,Montrose,CO,38.50887,-107.89383
MVY,216,1.537037037,Martha's Vineyard Airport,Marthas Vineyard,MA,41.39303,-70.61433
MYR,5232,7.166093272,Myrtle Beach International Airport,Myrtle Beach,SC,33.67975,-78.92833
OAJ,1120,10.025,Albert J. Ellis Airport,Jacksonville,NC,34.82916,-77.61214
OAK,41686,4.706903997,Oakland International Airport,Oakland,CA,37.72129,-122.22072
OGG,22335,2.387508395,Kahului Airport,Kahului,HI,20.89865,-156.43046
OKC,17445,6.512983663,Will Rogers World Airport,Oklahoma City,OK,35.39309,-97.60073
OMA,17986,4.675970199,Eppley Airfield,Omaha,NE,41.30252,-95.89417
OME,683,6.026354319,Nome Airport,Nome,AK,64.5122,-165.44525
ONT,19544,6.023229636,Ontario International Airport,Ontario,CA,34.056,-117.60119
ORD,303370,6.453324323,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446
ORF,10025,5.576458853,Norfolk International Airport,Norfolk,VA,36.89461,-76.20122
ORH,695,0.463309353,Worcester Regional Airport,Worcester,MA,42.26734,-71.87571
OTH,266,16.7406015,Southwest Oregon Regional AirportÂ (North Bend Municipal),North Bend,OR,43.41714,-124.24603
OTZ,698,2.679083095,Ralph Wien Memorial Airport,Kotzebue,AK,66.88468,-162.59855
PAH,684,5.381578947,Barkley Regional Airport,Paducah,KY,37.06083,-88.77375
PBG,294,15.40816327,Plattsburgh International Airport,Plattsburgh,NY,,
PBI,23947,6.311187205,Palm Beach International Airport,West Palm Beach,FL,26.68316,-80.09559
PDX,51343,1.288763804,Portland International Airport,Portland,OR,45.58872,-122.5975
PHF,1354,6.895864106,Newport News/Williamsburg International Airport,Newport News,VA,37.1319,-76.49299
PHL,70724,4.635724789,Philadelphia International Airport,Philadelphia,PA,39.87195,-75.24114
PHX,158262,2.611454424,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806
PIA,4501,3.457009553,General Wayne A. Downing Peoria International Airport,Peoria,IL,40.66424,-89.69331
PIB,612,4.093137255,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,31.46715,-89.33706
PIH,707,-0.796322489,Pocatello Regional Airport,Pocatello,ID,42.91131,-112.59586
PIT,25890,4.281189649,Pittsburgh International Airport,Pittsburgh,PA,40.49147,-80.23287
PLN,793,6.360655738,Pellston Regional Airport of Emmet County,Pellston,MI,45.57093,-84.79672
PNS,6412,5.43621335,Pensacola International AirportÂ (Pensacola Gulf Coast Regional Airport),Pensacola,FL,30.47331,-87.18744
PPG,107,7.401869159,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,14.33102,-170.71053
PSC,2399,4.187578158,Tri-Cities Airport,Pasco,WA,46.26468,-119.11903
PSE,797,9.481806775,Mercedita Airport,Ponce,PR,18.0083,-66.56301
PSG,653,7.222052067,Petersburg James A. Johnson Airport,Petersburg,AK,56.80165,-132.94528
PSP,9575,4.067989556,Palm Springs International Airport,Palm Springs,CA,33.82922,-116.50625
PUB,255,-0.945098039,Pueblo Memorial Airport,Pueblo,CO,38.28909,-104.49657
PVD,11886,5.891216557,Theodore Francis Green State Airport,Providence,RI,41.724,-71.42822
PWM,5034,6.439411998,Portland International Jetport,Portland,ME,43.64617,-70.30875
RAP,3441,3.999709387,Rapid City Regional Airport,Rapid City,SD,44.04532,-103.05737
RDD,768,7.514322917,Redding Municipal Airport,Redding,CA,40.50898,-122.2934
RDM,2111,2.538607295,Redmond Municipal AirportÂ (Roberts Field),Redmond,OR,44.25407,-121.14996
RDU,34182,5.327511556,Raleigh-Durham International Airport,Raleigh,NC,35.87764,-78.78747
RHI,938,-1.364605544,Rhinelander-Oneida County Airport,Rhinelander,WI,45.63119,-89.46745
RIC,16535,6.556456002,Richmond International Airport,Richmond,VA,37.50517,-77.31967
RKS,665,-3.261654135,Rock Springs-Sweetwater County Airport,Rock Springs,WY,41.59422,-109.06519
RNO,14029,4.822795638,Reno/Tahoe International Airport,Reno,NV,39.49858,-119.76806
ROA,2204,6.720961887,Roanoke Regional AirportÂ (Woodrum Field),Roanoke,VA,37.32547,-79.97543
ROC,8007,4.424878232,Greater Rochester International Airport,Rochester,NY,43.11887,-77.67238
ROW,1003,4.292123629,Roswell International Air Center,Roswell,NM,33.30156,-104.53056
RST,2161,2.865802869,Rochester International Airport,Rochester,MN,43.90883,-92.49799
RSW,28757,3.15053726,Southwest Florida International Airport,Ft. Myers,FL,26.53617,-81.75517
SAF,1535,3.933550489,Santa Fe Municipal Airport,Santa Fe,NM,35.61678,-106.08814
SAN,69294,3.676826276,San Diego International AirportÂ (Lindbergh Field),San Diego,CA,32.73356,-117.18966
SAT,32056,5.444752932,San Antonio International Airport,San Antonio,TX,29.53369,-98.46978
SAV,8041,4.707747793,Savannah/Hilton Head International Airport,Savannah,GA,32.12758,-81.20214
SBA,5902,3.992036598,Santa Barbara Municipal AirportÂ (Santa Barbara Airport),Santa Barbara,CA,34.42621,-119.84037
SBN,4344,8.658149171,South Bend International AirportÂ (South Bend Regional),South Bend,IN,41.70895,-86.31847
SBP,3065,3.580097879,San Luis Obispo County Regional AirportÂ (McChesney Field),San Luis Obispo,CA,35.23706,-120.64239
SCC,832,0.478365385,Deadhorse AirportÂ (Prudhoe Bay Airport),Deadhorse,AK,70.19476,-148.46516
SCE,943,10.0583245,University Park Airport,State College,PA,40.85121,-77.8463
SDF,9959,5.640927804,Louisville International AirportÂ (Standiford Field),Louisville,KY,38.17439,-85.736
SEA,110192,1.969471468,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931
SFO,159492,5.975691571,San Francisco International Airport,San Francisco,CA,37.619,-122.37484
SGF,6568,7.877588307,Springfield-Branson National Airport,Springfield,MO,37.24433,-93.38686
SGU,1773,5.227298364,St. George Regional Airport,St George,UT,37.09058,-113.59306
SHV,6479,7.331532644,Shreveport Regional Airport,Shreveport,LA,32.44663,-93.8256
SIT,1416,2.186440678,Sitka Rocky Gutierrez Airport,Sitka,AK,57.04714,-135.3616
SJC,37737,4.206773193,Norman Y. Mineta San JosÃ© International Airport,San Jose,CA,37.36186,-121.92901
SJT,1553,3.444945267,San Angelo Regional AirportÂ (Mathis Field),San Angelo,TX,31.35775,-100.49631
SJU,24447,6.880312513,Luis MuÃ±oz MarÃ_n International Airport,San Juan,PR,18.43942,-66.00183
SLC,105294,0.041550326,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777
SMF,40462,5.005560773,Sacramento International Airport,Sacramento,CA,38.69542,-121.59077
SMX,652,0.642638037,Santa Maria Public AirportÂ (Capt G. Allan Hancock Field),Santa Maria,CA,34.89925,-120.45758
SNA,36723,1.583666912,John Wayne AirportÂ (Orange County Airport),Santa Ana,CA,33.67566,-117.86822
SPI,1667,8.165566887,Abraham Lincoln Capital Airport,Springfield,IL,39.84395,-89.67762
SPS,1170,4.947863248,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,33.9888,-98.49189
SRQ,3336,2.506894484,Sarasota-Bradenton International Airport,Sarasota,FL,27.39533,-82.55411
STC,77,23.02597403,St. Cloud Regional Airport,St Cloud,MN,45.54532,-94.05834
STL,46273,4.204417263,St. Louis International Airport at Lambert Field,St Louis,MO,38.74769,-90.35999
STT,4306,5.58685555,Cyril E. King Airport,Charlotte Amalie,VI,18.33731,-64.97336
STX,1002,6.172654691,Henry E. Rohlsen Airport,Christiansted,VI,17.70189,-64.79856
SUN,914,2.772428884,Friedman Memorial Airport,Hailey,ID,43.50484,-114.29659
SUX,591,4.58714044,Sioux Gateway Airport,Sioux City,IA,42.4026,-96.38437
SWF,741,7.484480432,Stewart International Airport,Newburgh,NY,41.50409,-74.10484
SYR,6111,5.350842743,Syracuse Hancock International Airport,Syracuse,NY,43.11119,-76.10631
TLH,3427,4.617449664,Tallahassee International Airport,Tallahassee,FL,30.39653,-84.35033
TOL,989,-1.246713852,Toledo Express Airport,Toledo,OH,41.58681,-83.80783
TPA,68289,4.307165136,Tampa International Airport,Tampa,FL,27.97547,-82.53325
TRI,1912,2.070606695,Tri-Cities Regional Airport,Bristol,TN,36.47521,-82.40742
TTN,3037,16.15442871,Trenton Mercer Airport,Trenton,NJ,40.27669,-74.81347
TUL,15060,6.099269588,Tulsa International Airport,Tulsa,OK,36.19837,-95.88824
TUS,16259,5.630112553,Tucson International Airport,Tucson,AZ,32.11608,-110.94103
TVC,2874,2.26861517,Cherry Capital Airport,Traverse City,MI,44.74144,-85.58224
TWF,806,3.606699752,Magic Valley Regional AirportÂ (Joslin Field),Twin Falls,ID,42.4818,-114.48774
TXK,915,4.766120219,Texarkana Regional AirportÂ (Webb Field),Texarkana,AR,33.45371,-93.99102
TYR,2421,6.712928542,Tyler Pounds Regional Airport,Tyler,TX,32.35414,-95.40239
